,Gold,Crude Oil,Fed Funds Rate
2015-07-08,1163.300048828125,51.650001525878906,0.13
2015-07-09,1159.0,52.779998779296875,0.13
2015-07-10,1157.699951171875,52.7400016784668,0.13
2015-07-13,1155.199951171875,52.20000076293945,0.13
2015-07-14,1153.300048828125,53.040000915527344,0.13
2015-07-15,1147.199951171875,51.40999984741211,0.13
2015-07-16,1143.800048828125,50.90999984741211,0.14
2015-07-17,1131.800048828125,50.88999938964844,0.13
2015-07-20,1106.699951171875,50.150001525878906,0.14
2015-07-21,1103.4000244140625,50.36000061035156,0.13
2015-07-22,1091.4000244140625,49.189998626708984,0.13
2015-07-23,1094.0,48.45000076293945,0.13
2015-07-24,1085.5999755859375,48.13999938964844,0.13
2015-07-27,1096.5,47.38999938964844,0.14
2015-07-28,1096.300048828125,47.97999954223633,0.14
2015-07-29,1092.699951171875,48.790000915527344,0.14
2015-07-30,1088.4000244140625,48.52000045776367,0.14
2015-07-31,1094.9000244140625,47.119998931884766,0.08
2015-08-03,1089.4000244140625,45.16999816894531,0.14
2015-08-04,1090.699951171875,45.7400016784668,0.14
2015-08-05,1085.699951171875,45.150001525878906,0.14
2015-08-06,1090.199951171875,44.65999984741211,0.14
2015-08-07,1094.0999755859375,43.869998931884766,0.14
2015-08-10,1104.199951171875,44.959999084472656,0.14
2015-08-11,1107.5999755859375,43.08000183105469,0.15
2015-08-12,1123.199951171875,43.29999923706055,0.15
2015-08-13,1115.699951171875,42.22999954223633,0.15
2015-08-14,1112.9000244140625,42.5,0.14
2015-08-17,1118.5999755859375,41.869998931884766,0.15
2015-08-18,1117.0999755859375,42.619998931884766,0.15
2015-08-19,1128.0999755859375,40.79999923706055,0.15
2015-08-20,1153.0,41.13999938964844,0.15
2015-08-21,1159.5999755859375,40.45000076293945,0.15
2015-08-24,1153.4000244140625,38.2400016784668,0.15
2015-08-25,1138.199951171875,39.310001373291016,0.15
2015-08-26,1124.5999755859375,38.599998474121094,0.14
2015-08-27,1122.4000244140625,42.560001373291016,0.14
2015-08-28,1133.0999755859375,45.220001220703125,0.14
2015-08-31,1131.5999755859375,49.20000076293945,0.08
2015-09-01,1138.699951171875,45.40999984741211,0.14
2015-09-02,1132.5,46.25,0.14
2015-09-03,1123.699951171875,46.75,0.14
2015-09-04,1120.5999755859375,46.04999923706055,0.14
2015-09-08,1120.4000244140625,45.939998626708984,0.14
2015-09-09,1102.199951171875,44.150001525878906,0.14
2015-09-10,1109.5,45.91999816894531,0.14
