Date,BTC-USD,ETH-USD,BNB-USD,ADA-USD,XRP-USD
2017-12-31,14156.400390625,756.7329711914062,8.635580062866211,0.719694972038269,2.300570011138916
2018-01-01,13657.2001953125,772.6409912109375,8.414609909057617,0.7286570072174072,2.3910300731658936
2018-01-02,14982.099609375,884.4439697265625,8.837770462036133,0.7825869917869568,2.4809000492095947
2018-01-03,15201.0,962.719970703125,9.535880088806152,1.0796600580215454,3.105370044708252
2018-01-04,15599.2001953125,980.9219970703125,9.213990211486816,1.1141200065612793,3.1966300010681152
2018-01-05,17429.5,997.719970703125,14.917200088500977,0.9995589852333069,3.0487101078033447
2018-01-06,17527.0,1041.6800537109375,22.75979995727539,1.02715003490448,3.0939700603485107
2018-01-07,16477.599609375,1153.1700439453125,18.65679931640625,1.0085200071334839,3.377810001373291
2018-01-08,15170.099609375,1148.530029296875,18.260900497436523,0.8990020155906677,2.456209897994995
2018-01-09,14595.400390625,1299.739990234375,17.411800384521484,0.8147429823875427,2.1017799377441406
2018-01-10,14973.2998046875,1255.8199462890625,17.39080047607422,0.7931209802627563,1.9749200344085693
2018-01-11,13405.7998046875,1154.9300537109375,21.042699813842773,0.6884120106697083,1.9507999420166016
2018-01-12,13980.599609375,1273.199951171875,22.316299438476562,0.8975080251693726,2.0432300567626953
2018-01-13,14360.2001953125,1396.4200439453125,22.174400329589844,0.8841239809989929,2.0213499069213867
2018-01-14,13772.0,1366.77001953125,20.777299880981445,0.802262008190155,1.8611899614334106
2018-01-15,13819.7998046875,1291.9200439453125,19.564699172973633,0.7785869836807251,1.6767300367355347
2018-01-16,11490.5,1053.68994140625,13.891900062561035,0.626492977142334,1.1792399883270264
2018-01-17,11188.599609375,1014.25,14.203200340270996,0.6291019916534424,1.306339979171753
2018-01-18,11474.900390625,1036.280029296875,14.280400276184082,0.6598430275917053,1.5965800285339355
2018-01-19,11607.400390625,1039.0999755859375,14.940600395202637,0.6504979729652405,1.552049994468689
2018-01-20,12899.2001953125,1155.1500244140625,16.19029998779297,0.7075099945068359,1.5786199569702148
2018-01-21,11600.099609375,1049.5799560546875,14.068300247192383,0.6131629943847656,1.3800400495529175
2018-01-22,10931.400390625,1003.260009765625,13.014599800109863,0.5704579949378967,1.3573499917984009
2018-01-23,10868.400390625,986.22900390625,13.093500137329102,0.5630699992179871,1.3370699882507324
2018-01-24,11359.400390625,1058.780029296875,13.628700256347656,0.6222079992294312,1.3571499586105347
2018-01-25,11259.400390625,1056.030029296875,13.228400230407715,0.6374949812889099,1.3122299909591675
2018-01-26,11171.400390625,1055.1700439453125,13.218199729919434,0.6233819723129272,1.217270016670227
2018-01-27,11440.7001953125,1107.0699462890625,13.253000259399414,0.616832971572876,1.2191100120544434
2018-01-28,11786.2998046875,1246.010009765625,13.540200233459473,0.6702859997749329,1.3996000289916992
2018-01-29,11296.400390625,1182.3599853515625,12.76449966430664,0.6232039928436279,1.3239699602127075
2018-01-30,10106.2998046875,1071.1300048828125,11.250699996948242,0.5319129824638367,1.1385600566864014
2018-01-31,10221.099609375,1118.31005859375,11.145000457763672,0.5193150043487549,1.1623899936676025
2018-02-01,9170.5400390625,1036.7900390625,9.515839576721191,0.421671986579895,0.9625300168991089
2018-02-02,8830.75,915.7849731445312,9.652290344238281,0.39053401350975037,0.8847839832305908
2018-02-03,9174.91015625,964.0189819335938,9.749679565429688,0.438836008310318,0.9240429997444153
2018-02-04,8277.009765625,834.6820068359375,8.458640098571777,0.3793030083179474,0.8157029747962952
2018-02-05,6955.27001953125,697.9509887695312,6.7050299644470215,0.3273710012435913,0.691798985004425
2018-02-06,7754.0,793.1220092773438,8.288849830627441,0.36975300312042236,0.7763929963111877
2018-02-07,7621.2998046875,757.0679931640625,8.095009803771973,0.34044700860977173,0.7238950133323669
2018-02-08,8265.58984375,817.8070068359375,8.595499992370605,0.35658401250839233,0.8052629828453064
2018-02-09,8736.98046875,883.864990234375,9.730460166931152,0.3916020095348358,0.9544280171394348
2018-02-10,8621.900390625,860.4149780273438,9.255970001220703,0.4058719873428345,1.070739984512329
2018-02-11,8129.97021484375,814.6599731445312,8.704910278320312,0.36976900696754456,1.0041600465774536
2018-02-12,8926.5703125,868.7069702148438,9.322469711303711,0.38431501388549805,1.0810099840164185
2018-02-13,8598.3095703125,845.2579956054688,8.986780166625977,0.3733139932155609,1.0274100303649902
2018-02-14,9494.6298828125,923.5609741210938,10.40060043334961,0.3969079852104187,1.1416200399398804
2018-02-15,10166.400390625,936.9760131835938,10.931099891662598,0.40936800837516785,1.1468600034713745
2018-02-16,10233.900390625,944.2100219726562,11.201600074768066,0.4038099944591522,1.1380300521850586
2018-02-17,11112.7001953125,974.114990234375,11.689299583435059,0.41988301277160645,1.2049800157546997
2018-02-18,10551.7998046875,923.9210205078125,10.702400207519531,0.3856180012226105,1.120460033416748
2018-02-19,11225.2998046875,943.864990234375,11.075699806213379,0.3914720118045807,1.1444200277328491
2018-02-20,11403.7001953125,895.3709716796875,9.904509544372559,0.37877899408340454,1.089460015296936
2018-02-21,10690.400390625,849.9710083007812,9.380789756774902,0.36444100737571716,1.0153900384902954
2018-02-22,10005.0,812.844970703125,8.904029846191406,0.3378709852695465,0.9417880177497864
2018-02-23,10301.099609375,864.1890258789062,9.692110061645508,0.3452579975128174,0.9988549947738647
2018-02-24,9813.0703125,840.5150146484375,9.1419095993042,0.3229660093784332,0.9544020295143127
2018-02-25,9664.73046875,844.8099975585938,9.346599578857422,0.34403300285339355,0.9434869885444641
