Weights,PortfolioStandardDeviation,PortfolioReturn,PortfolioSharpeRatio,WeightsStringRepresent
"[0.0, 0.0, 0.05, 0.5, 0.44999999999999996]",0.047804937547780306,0.40599874533786745,8.074453500793043,"Weights: 0.0, 0.0, 0.05, 0.5, 0.44999999999999996"
"[0.0, 0.0, 0.05, 0.55, 0.3999999999999999]",0.047992917919227066,0.4037827001385307,7.996652772487053,"Weights: 0.0, 0.0, 0.05, 0.55, 0.3999999999999999"
"[0.0, 0.0, 0.05, 0.6, 0.35]",0.04824720039482227,0.40156665493919386,7.908576079372728,"Weights: 0.0, 0.0, 0.05, 0.6, 0.35"
"[0.0, 0.0, 0.05, 0.65, 0.29999999999999993]",0.04856674356549541,0.39935060973985714,7.810913021752801,"Weights: 0.0, 0.0, 0.05, 0.65, 0.29999999999999993"
"[0.0, 0.0, 0.05, 0.7, 0.25]",0.04895026939922825,0.3971345645405203,7.7044430841572895,"Weights: 0.0, 0.0, 0.05, 0.7, 0.25"
"[0.0, 0.0, 0.05, 0.75, 0.19999999999999996]",0.04939628758357689,0.39491851934118355,7.590014101906621,"Weights: 0.0, 0.0, 0.05, 0.75, 0.19999999999999996"
"[0.0, 0.0, 0.05, 0.8, 0.1499999999999999]",0.04990312253660911,0.3927024741418467,7.46852010850485,"Weights: 0.0, 0.0, 0.05, 0.8, 0.1499999999999999"
"[0.0, 0.0, 0.05, 0.85, 0.09999999999999998]",0.050468942032206254,0.39048642894251,7.340879638532699,"Weights: 0.0, 0.0, 0.05, 0.85, 0.09999999999999998"
"[0.0, 0.0, 0.05, 0.9, 0.04999999999999993]",0.05109178642285418,0.3882703837431732,7.208015407706314,"Weights: 0.0, 0.0, 0.05, 0.9, 0.04999999999999993"
"[0.0, 0.0, 0.05, 0.95, 0.0]",0.05176959753551188,0.3860543385438364,7.0708360885505765,"Weights: 0.0, 0.0, 0.05, 0.95, 0.0"
"[0.0, 0.0, 0.1, 0.0, 0.9]",0.0487735569628001,0.4532289064831764,8.882454622155254,"Weights: 0.0, 0.0, 0.1, 0.0, 0.9"
"[0.0, 0.0, 0.1, 0.05, 0.85]",0.04832253334986693,0.45101286128383955,8.919500518799403,"Weights: 0.0, 0.0, 0.1, 0.05, 0.85"
"[0.0, 0.0, 0.1, 0.1, 0.8]",0.047934733325392324,0.44879681608450284,8.945430303611547,"Weights: 0.0, 0.0, 0.1, 0.1, 0.8"
